diagnostico,frase,resposta
ansiedade,sinto farsa todos descobrir bom suficiente,"Esse sentimento é comum em quem tem a síndrome do impostor, uma forma de ansiedade de desempenho. Vamos trabalhar em maneiras de desafiar esses pensamentos e ver o quanto você realmente é capaz."
ansiedade,medo rejeitadoa sempre interajo outras pessoas,Esse medo pode ser um sinal de ansiedade social. Vamos explorar maneiras de construir sua autoestima e confiança em interações sociais.
ansiedade,sinto alerta tempo todo algo ruim acontecer,Esse estado constante de alerta é típico de TAG. Vamos falar sobre formas de reduzir essa ansiedade e te ajudar a se sentir mais tranquilo(a).
burnout,sinto tão esgotadoa consigo fazer coisas simples levantar cama,Esse esgotamento extremo é um sintoma clássico de burnout. Vamos trabalhar em formas de recuperar sua energia e vitalidade.
pânico,pânico pensar ficar presoa trânsito elevador,Esse medo pode estar relacionado à agorafobia ou claustrofobia. Vamos trabalhar em formas de te ajudar a enfrentar esses cenários de maneira mais tranquila.
burnout,sinto qualquer momento vou explodir tanto estresse,Essa sensação de sobrecarga pode ser um sinal de burnout. Vamos trabalhar juntos para aliviar essa pressão e te dar mais espaço para respirar.
ansiedade,tanto medo futuro vezes consigo fazer planos,Essa preocupação com o futuro pode ser um sinal de TAG. Vamos explorar maneiras de trazer sua atenção de volta ao presente e aliviar essa ansiedade.
depressão,sinto falhar tudo importa quanto tente,Esse sentimento de fracasso iminente é comum em depressão. Vamos trabalhar em formas de reconstruir sua confiança e redefinir suas expectativas.
ansiedade,tanto medo errar acabo evitando fazer qualquer coisa,Esse medo de falhar pode ser um sintoma de ansiedade de desempenho. Vamos trabalhar em formas de desafiar esse medo e te ajudar a seguir em frente.
burnout,sinto importa quanto durma nunca descansadoa,Essa sensação de cansaço constante é típica de burnout. Vamos explorar maneiras de melhorar seu descanso e recuperar sua energia.
pânico,crises pânico fico presoa multidões lugares cheios,Esses sintomas indicam agorafobia. Vamos trabalhar em formas de te ajudar a se sentir mais confortável e seguro(a) nesses ambientes.
ansiedade,sinto tão ansiosoa ambientes sociais prefiro ficar sozinhoa,Isso parece um caso de ansiedade social. Vamos trabalhar em técnicas que podem te ajudar a se sentir mais à vontade em interações sociais.
burnout,sinto sempre atrasadoa tudo nunca capaz acompanhar ritmo,Essa sensação de nunca estar à altura das expectativas é um sintoma de burnout. Vamos trabalhar em maneiras de aliviar essa pressão e te ajudar a recuperar o equilíbrio.
depressão,sinto tristeza nunca vai embora sempre beira lágrimas,Parece que você está lidando com um caso de depressão. Vamos explorar formas de lidar com esses sentimentos e melhorar seu bem-estar emocional.
depressão,energia fazer nada coisas costumava gostar,A falta de energia e interesse em atividades pode ser um sinal de depressão. Podemos começar a trabalhar em pequenas mudanças para recuperar sua vitalidade.
depressão,tudo perdesse sentido vejo motivo continuar tentando,Essa sensação de desesperança pode ser um sintoma de depressão profunda. Vamos encontrar maneiras de reconectar você com o que importa.
depressão,mente sempre cansada carregando peso invisível,A fadiga mental constante pode ser um sinal de depressão. Vamos explorar práticas para aliviar esse peso.
depressão,sinto sempre mau humor irritadoa coisas pequenas,Mudanças de humor e irritabilidade são comuns na depressão. Vamos falar sobre estratégias para lidar com esses sentimentos.
depressão,sinto vazioa apenas existindo vivendo,Esse vazio emocional pode ser um sintoma de depressão. Vamos explorar maneiras de preencher esse espaço com experiências mais significativas.
depressão,isolo cada vez quero ver ninguém falar ninguém,"O isolamento é um sinal clássico de depressão. Vamos trabalhar em maneiras de reverter isso, passo a passo."
depressão,acordo cansadoa todos dias dormir várias horas,A fadiga ao acordar é um sintoma comum de depressão. Vamos explorar práticas que podem melhorar a qualidade do seu sono e seu bem-estar geral.
depressão,consigo concentrar nada mente parece névoa,A dificuldade de concentração pode ser um sinal de depressão. Podemos trabalhar em técnicas para melhorar seu foco e clareza mental.
ansiedade,sinto pressão constante peito algo ruim sempre acontecer,Esse sintoma de ansiedade generalizada é comum. Vamos discutir técnicas de relaxamento que podem ajudar a aliviar essa pressão.
ansiedade,cabeça nunca desliga sempre ruminando sobre pode dar errado,Esse padrão de pensamento excessivo é típico em transtornos de ansiedade. Vamos trabalhar em estratégias para acalmar sua mente.
ansiedade,sinto sempre limite prestes explodir,Essa sensação de tensão constante é característica de ansiedade crônica. Vamos explorar técnicas para aliviar essa sensação.
ansiedade,evito situações sociais porque sinto vulnerável expostoa,Isso parece ser ansiedade social. Podemos trabalhar em técnicas que aumentem sua confiança nessas situações.
ansiedade,dificuldade respirar nervosoa ar entrasse direito,Essa dificuldade respiratória é um sintoma físico comum de ansiedade. Podemos explorar exercícios de respiração que podem ajudar.
ansiedade,sinto nó estômago toda vez preciso fazer algo importante,A ansiedade pode causar esse desconforto físico. Vamos trabalhar em técnicas para reduzir esse impacto em momentos críticos.
ansiedade,consigo relaxar tudo bem redor,Essa incapacidade de relaxar pode ser um sinal de transtorno de ansiedade. Vamos explorar maneiras de reduzir essa sensação constante de alerta.
ansiedade,sinto algo sempre prestes dar errado tudo parece normal,Essa preocupação excessiva pode ser um sinal de transtorno de ansiedade. Vamos trabalhar em maneiras de equilibrar esses pensamentos.
ansiedade,tento controlar tudo redor evitar algo saia errado,Essa necessidade de controle pode ser um sinal de ansiedade. Vamos falar sobre como soltar um pouco dessa pressão interna.
burnout,sinto falhando tudo pessoas dizem indo bem,Essa autocrítica constante é um sinal de burnout. Vamos trabalhar para aliviar essa sensação de fracasso e encontrar um equilíbrio.
burnout,tão esgotadoa consigo pensar direito,O esgotamento mental e físico são sinais de burnout. Vamos explorar formas de recuperar sua energia e clareza mental.
burnout,sinto piloto automático apenas fazendo precisa feito realmente viver,Esse sentimento de desconexão é comum em burnout. Vamos trabalhar em maneiras de reconectar você com suas emoções e atividades.
burnout,sempre cansadoa importa quanto descanso,Essa fadiga persistente é um sinal de burnout. Vamos explorar como você pode se recuperar e voltar a se sentir energizado(a).
burnout,sinto nunca suficiente faça,Essa sensação de insuficiência é um sinal clássico de burnout. Vamos trabalhar em como mudar essa mentalidade e reduzir a pressão.
burnout,medo falhar tudo tento perfeitoa tempo todo,Essa busca por perfeição pode levar ao burnout. Vamos explorar formas de ser mais gentil consigo mesmo(a).
burnout,sinto carregando peso enorme costas tempo todo,Esse sentimento de sobrecarga é um sinal de burnout. Vamos trabalhar em estratégias para aliviar essa pressão.
burnout,consigo parar preocupar trabalho casa,A dificuldade em se desconectar do trabalho é um sintoma de burnout. Vamos falar sobre como estabelecer limites saudáveis.
burnout,sinto incapaz lidar demandas vida sempre atrasadoa,Essa sensação de estar sobrecarregado(a) é comum em burnout. Vamos explorar formas de equilibrar suas responsabilidades.
pânico,sinto vou desmaiar multidões coração dispara consigo respirar,Esses são sintomas clássicos de um ataque de pânico. Vamos trabalhar em técnicas de enfrentamento para esses momentos.
pânico,medo ir lugares lotados porque ataques pânico antes,Esse medo de ter novos ataques é comum após episódios de pânico. Podemos trabalhar em técnicas para reduzir esse medo e te ajudar a enfrentar essas situações.
pânico,sinto vou perder controle espaços fechados cheios gente,Esse medo de perder o controle é típico em transtornos de pânico. Vamos explorar formas de reduzir esse medo e trazer mais calma.
pânico,lugar cheio sinto preciso sair imediatamente vou enlouquecer,Essa sensação de urgência para escapar é um sintoma de ataques de pânico. Vamos trabalhar em técnicas de respiração e enfrentamento.
pânico,ataques pânico nada casa razão aparente,Ataques de pânico inesperados podem ser extremamente assustadores. Vamos explorar formas de lidar com esses episódios e prevenir novos ataques.
pânico,sinto corpo controle durante ataque pânico desmaiar,Essa sensação de perda de controle é típica de ataques de pânico. Podemos trabalhar em técnicas para recuperar o controle nesses momentos.
pânico,evito ir lugares lembram onde ataques pânico passado,Esse comportamento de evitação é comum em transtornos de pânico. Vamos trabalhar em maneiras de superar esse medo e retomar sua liberdade.
pânico,coração dispara motivo aparente algo terrível prestes acontecer,A aceleração do coração é um sintoma físico comum de ataques de pânico. Vamos trabalhar em técnicas de regulação corporal para lidar com isso.
pânico,sinto necessidade desesperada escapar começo sentir tendo ataque pânico,Essa necessidade de fuga é comum durante ataques de pânico. Vamos trabalhar em técnicas para reduzir essa sensação.
pânico,consigo sair casa sozinhoa porque medo ter ataque pânico,Esse medo de sair sozinho(a) pode ser um sinal de agorafobia. Vamos trabalhar para recuperar sua confiança em sair sem medo.
ansiedade,sinto presoa bolha consigo sair,Essa sensação de estar isolado(a) é muito comum em quem sofre de ansiedade. Vamos trabalhar juntos para encontrar maneiras de quebrar essa bolha e se sentir mais conectado(a) ao mundo.
ansiedade,tão ansiosoa consigo parar mexer distrair,Esse estado de inquietação é um sintoma clássico de ansiedade. Vamos explorar técnicas de relaxamento que podem te ajudar a encontrar um pouco de paz.
depressão,emoções parecem montanharussa sinto tão instável,Essas oscilações emocionais podem ser muito desgastantes. Vamos trabalhar juntos para entender o que está por trás dessas flutuações e encontrar um equilíbrio emocional.
depressão,sinto posso confiar próprios pensamentos traiçoeiros,Essa desconfiança nos próprios pensamentos é angustiante. Vamos trabalhar em técnicas que podem ajudar a reestabelecer a confiança em sua mente e em suas percepções.
depressão,vezes sinto tristeza tão profunda parece afundando,Essa sensação de afundar na tristeza é dolorosa. Estou aqui para te ajudar a encontrar um caminho para a superfície e a redescobrir a luz.
ansiedade,sinto sempre alerta sendo perseguidoa,Esse estado constante de vigilância pode ser muito cansativo. Vamos explorar estratégias para te ajudar a relaxar e se sentir mais seguro(a) no seu ambiente.
depressão,sinto tão distante pessoas amo assistindo longe,Essa sensação de desconexão pode ser muito solitária. Vamos trabalhar juntos para encontrar maneiras de reestabelecer essas conexões e sentir-se mais próximo(a) das pessoas.
pânico,tendo dificuldades distinguir real apenas mente jogando jogos comigo,Essa confusão entre a realidade e a percepção pode ser alarmante. Vamos trabalhar em técnicas de grounding para te ajudar a se ancorar no presente.
